close_time,asset,qty,entry_price,exit_price,pnl_dollar,pnl_pct
2026-03-17T15:00:13.933490+00:00,XLE,337,58.203531,58.765,189.215053,0.9650000000000001
2026-03-18T15:01:40.329143+00:00,XLE,1703,58.627283,58.575,-89.037949,-0.089
2026-03-19T14:56:55.826506+00:00,XLE,1244,58.737099,59.45,886.848844,1.214
2026-03-20T14:55:36.177608+00:00,XLE,334,59.417106,59.965,182.996596,0.922
2026-03-23T14:57:41.812180+00:00,XLE,330,59.819655,59.71,-36.18615,-0.183
2026-03-25T14:59:19.915393+00:00,XLE,341,61.41,60.5901,-279.5859,-1.335
2026-03-26T14:59:21.843034+00:00,XLE,882,60.763367,61.05,252.810306,0.47200000000000003
2026-03-27T14:56:48.623781+00:00,XLE,542,61.444206,62.53,588.500348,1.7670000000000001
2026-03-30T14:59:13.489486+00:00,XLE,1401,62.44809,63.075,878.30091,1.004
2026-04-01T14:59:44.446141+00:00,XLE,2343,60.874533,58.98,-4438.890819,-3.1119999999999997
2026-04-02T14:57:42.033129+00:00,XLE,1312,59.695253,59.37,-426.731936,-0.545
2026-04-03T14:56:00.151874+00:00,XLE,264,59.595524,59.25,-91.218336,-0.58
2026-04-07T15:00:56.593893+00:00,XLE,662,59.781133,60.675,591.739954,1.4949999999999999
2026-04-08T15:00:23.593284+00:00,XLE,2012,60.050568,57.645,-4840.002816,-4.006
2026-04-13T15:05:35.876789+00:00,XLE,325,57.610769,57.27,-110.749925,-0.592
